stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,0,2,0,0,0,0,1,0,0,0,0,0,2,1,8,0,0,0,0,3,66,0,0,0,0,0,0,0,0,1,0,0,0
72hpf,1.69,0,2.25,0.56,0.28,0,0,0,0,0,0.28,0,0,1.13,0,3.1,0,0.28,0.28,0,24.8,9.02,0.28,0,1.69,0,0,1.41,0.28,0.28,0.28,0,0,0
21Day,1.11,0,0.37,0.74,0,0,0,0,0.37,0,0.74,0,0.37,2.22,0.37,4.81,0,0,0.37,0,11.84,4.44,0.37,0,2.22,0.74,0,1.48,0,0,0,0,0,0
3Month,0,0.31,2.18,0,0.1,0.62,0.21,0,2.5,0.31,0,2.18,0.21,1.14,0.42,1.35,0,0,0,0.52,0.21,0.21,0.1,0.21,0,0,7.07,0,0,0,0,0.52,1.14,0.73
22Month,0,0,0.41,0,0,0.14,0.14,0,3.83,0,0.14,1.09,0,0.27,0,0.55,0.14,0.14,0,0.14,0.41,0.14,0.14,0.14,0,0,1.37,0.14,0,0,0,0,0,0.27
