stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,8,0,0,0,0,0,0,0,4,2,0,0,0,3,0,0,0,0,0,0,0,0
72hpf,0.28,1.69,0,0.28,0,0,0,0,0,5.36,1.41,0.28,0,1.13,1.13,0.56,0,0,0,0,0,0,0
21Day,0.74,3.7,0.37,0,0,0,0.74,0.37,0,1.11,1.11,0,0,0.74,0.37,0.74,0.37,0,0,0.74,0,0,0
3Month,0,3.95,0,0,0.21,0.21,0.62,0,0.31,1.87,1.35,0,0.1,0.62,0,0,0,0.21,0.1,0,0.1,0.1,0.1
22Month,0,0.41,0,0,0,0,0.41,0,0,0.27,0.55,0,0,0,0,0,0,0,0,0,0,0,0.14
