stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,9,28,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.41,0.28,0,1.13,0,1.13,0,0,0,0,0,0,0,0.28,2.25,0.56,4.23,0,0.28,0.56,133.6,10.43,0,0,0,3.1,0.28,0,1.69,0,0,0.56,0,0
21Day,2.59,0,0.37,1.48,0.74,2.22,1.85,0,0,0,0,1.48,0,0.37,0.37,0.37,11.47,0,0,0.74,62.9,5.18,0,1.48,0,4.07,2.96,0,0.37,0.74,1.11,0.37,0,0.37
3Month,0,0,0,0.42,0,0,0.1,0.31,0,0.52,0.31,0,0,0.1,0.1,0.1,0.21,0.21,0,0,0,0,0.1,0,0,0,0,0.73,0,0,0,0,0.1,0
22Month,0.27,0.27,0.14,0.96,0.14,0,0.14,0.68,0.27,6.56,0.27,0.68,0.68,0.14,0.14,0.96,1.37,0.14,0.14,0.14,0.14,0.14,0.14,0.41,0.14,0,0,0,0,0.14,0,0,0,0
