stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,1,0,1,0,0,0,0,2,0,0,0,0,12,46,0,1,0,0,0,1,14,0,0,0,1,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,3.38,5.07,0,0,0,0,0,0,0,0,0,0,2.25,18.04,0,0.28,0,0,0,4.51,0.85,0,0,0,0.28,0,0,0,0,0,0,0,0
21Day,0.37,0,0.74,8.14,5.55,0,0,0,0,0,0,0.37,0,0,2.96,1.11,4.44,0.37,1.48,0,0.37,0.37,3.7,0.74,1.11,0.37,0,0,0.37,0,0.37,1.48,0.37,0,0,0
3Month,0,0.31,0.42,18.41,1.66,0,0.1,0.83,1.87,0.1,0,7.18,1.66,0.31,5.72,3.43,0.73,1.25,1.35,0.52,0.94,0.42,2.81,0.1,1.46,0.21,0,0.1,0.62,8.32,0.21,0.1,0,0.62,184.94,1.35
22Month,0,0.14,0.14,8.2,0.14,0,0,0.68,0.55,0.68,0,8.2,0,0,8.2,0.82,0.14,0.27,0,0,1.78,0.14,0.82,0,0.96,0.14,1.09,0,0.14,6.42,0.14,0,0,0,0.82,0.14
