stage,Endothelial,Epithelial,Immune,Neuron,Other,Stromal
24hpf,0,0,0,4.09,0,0
21Day,0,0,1.34,0,0,1.34
3Month,0,1.92,0.64,0,0,0
22Month,0.55,14.21,2.19,0,1.09,2.19
