stage,Epithelial,Erythroid,Immune,Muscle,Neuron,Stromal
24hpf,12.26,0,0,0,32.69,8.17
72hpf,2.14,0,0,2.14,13.91,5.35
21Day,2.68,0,0,0,8.03,6.69
22Month,3.28,0.55,1.09,0,0,0
