stage,Endothelial,Epithelial,Immune,Neuron,Secretory,Stromal
24hpf,0,0,0,12.26,8.17,0
72hpf,1.07,1.07,0,42.79,3.21,1.07
21Day,0,4.02,0,18.74,0,2.68
3Month,0,0.64,0.32,0,0,0
22Month,0,0,0,0,0.55,0.55
