stage,Endothelial,Epithelial,Erythroid,Immune,Muscle,Neuron,Stromal
24hpf,8.17,4.09,0,4.09,0,4.09,0
72hpf,0,1.07,1.07,2.14,0,101.63,6.42
21Day,0,1.34,0,14.72,1.34,20.08,1.34
3Month,0,0,0,4.8,0,0,0
22Month,0,3.83,0.55,12.57,0,1.09,0.55
