stage,Epithelial,Erythroid,Germ,Immune,Muscle,Other,Secretory,Stromal
24hpf,12.26,0,0,0,0,0,0,0
72hpf,33.16,0,0,0,0,0,0,1.07
21Day,20.08,0,0,0,0,0,1.34,0
3Month,22.4,0,0.32,0.64,0.64,0,0.32,0.32
22Month,195.7,0.55,0,4.37,1.09,20.77,1.64,1.64
