stage,Epithelial,Erythroid,Germ,Immune,Muscle,Secretory,Stromal
21Day,0,0,0,0,1.34,0,0
3Month,10.88,0.32,2.24,3.2,132.78,0.64,5.44
22Month,2.73,0,0.55,0,10.93,0,0.55
