stage,Endothelial,Epithelial,Erythroid,Immune,Other,Secretory,Stromal
21Day,0,1.34,0,0,0,0,0
3Month,1.28,13.76,0.32,2.24,0,0.32,0.32
22Month,0.55,20.77,0,3.83,0.55,0,0
