stage,Endothelial,Epithelial,Erythroid,Germ,Muscle,Neuron,Secretory,Stromal
24hpf,0,8.17,0,0,0,61.3,0,12.26
72hpf,1.07,1.07,1.07,0,0,13.91,0,2.14
21Day,0,0,0,1.34,1.34,2.68,0,2.68
3Month,0,0.32,0,6.72,0,0.32,0.32,0
22Month,0,10.93,0,1.64,0,0.55,0,1.09
