stage,Epithelial,Erythroid,Immune,Muscle,Neuron,Other,Stromal
24hpf,0,0,0,0,16.35,4.09,0
72hpf,0,0,0,1.07,3.21,0,0
21Day,0,0,0,0,2.68,0,1.34
22Month,0.55,1.09,0.55,0,0,0,0
