stage,Endothelial,Epithelial,Germ,Muscle,Neuron,Stromal
24hpf,0,8.17,0,0,245.18,49.04
72hpf,0,4.28,0,0,13.91,3.21
21Day,0,1.34,0,0,16.06,0
3Month,0.32,0.64,0.64,0,0,0
22Month,0,1.64,0,0.55,0,0
