stage,Endothelial,Epithelial,Erythroid,Immune,Neuron,Stromal
24hpf,0,0,0,0,4.09,4.09
72hpf,1.07,1.07,0,0,4.28,2.14
21Day,1.34,5.35,2.68,4.02,0,1.34
3Month,0,1.28,0,0.32,0,0.32
