stage,Epithelial,Erythroid,Immune,Neuron,Other,Stromal
72hpf,1.07,0,0,7.49,0,0
21Day,4.02,1.34,0,2.68,0,1.34
3Month,1.92,0,0.32,0,0,1.28
22Month,2.19,0,1.64,0,0.55,0.55
