stage,Endothelial,Epithelial,Germ,Immune,Muscle,Neuron
24hpf,4.09,0,0,0,0,0
72hpf,0,0,0,0,0,1.07
21Day,1.34,0,0,0,0,0
3Month,0.64,0.32,6.72,0.32,0.32,0
