stage,Endothelial,Epithelial,Erythroid,Immune,Neuron,Secretory,Stromal
21Day,0,2.68,0,0,1.34,0,0
3Month,0,1.28,0,17.28,0,0.32,0
22Month,0.55,4.92,0.55,14.76,1.09,0.55,1.09
