stage,Epithelial,Erythroid,Germ,Immune,Muscle,Neuron
24hpf,4.09,0,0,0,0,4.09
72hpf,4.28,0,1.07,0,0,0
21Day,14.72,1.34,0,0,1.34,2.68
3Month,3.52,0,1.28,0.64,0,0.32
22Month,1.09,0,0.55,0,0,0
