stage,Epithelial,Erythroid,Immune,Neuron,Secretory,Stromal
24hpf,4.09,0,0,20.43,0,0
72hpf,0,0,0,5.35,1.07,2.14
21Day,2.68,2.68,2.68,5.35,0,1.34
3Month,1.6,0,0.32,0,0,0
