stage,Endothelial,Epithelial,Germ,Immune,Muscle,Secretory
72hpf,1.07,0,0,2.14,0,0
3Month,1.28,1.6,0.32,3.52,0.32,0.32
22Month,0.55,1.09,0,4.37,0,0
