stage,Epithelial,Germ,Immune,Muscle,Neuron,Other,Stromal
72hpf,2.14,0,0,0,1.07,0,1.07
21Day,2.68,0,1.34,0,2.68,0,2.68
3Month,1.6,0.64,0.96,0.32,0,0,0.64
22Month,10.93,0,2.19,0,0,1.09,0
