stage,Epithelial,Immune,Muscle,Neuron,Secretory
24hpf,0,0,0,4.09,4.09
72hpf,0,0,0,1.07,12.84
21Day,0,0,1.34,1.34,5.35
3Month,0.32,0.64,0.64,0,0
22Month,4.37,0.55,0,0.55,0
