stage,Epithelial,Erythroid,Immune,Neuron,Secretory,Stromal
24hpf,0,0,0,12.26,0,8.17
72hpf,1.07,1.07,0,95.21,0,0
21Day,1.34,2.68,0,42.83,0,0
3Month,2.24,0,0.64,0,0.64,0
22Month,15.31,0.55,3.28,0.55,0,0
