stage,Epithelial,Erythroid,Immune,Secretory,Stromal
24hpf,0,0,20.43,0,4.09
72hpf,0,0,0,1.07,0
21Day,0,1.34,2.68,1.34,0
3Month,1.28,0,15.36,2.24,0
22Month,0.55,0,2.19,1.09,0.55
