stage,Endothelial,Epithelial,Erythroid,Germ,Immune,Muscle,Neuron
24hpf,0,0,0,0,0,0,4.09
72hpf,0,1.07,0,0,0,0,1.07
21Day,0,0,1.34,0,0,0,1.34
3Month,0,5.12,0,0.32,0.64,0.32,1.28
22Month,0.55,25.69,0,0,6.56,0,0
