stage,Epithelial,Erythroid,Immune,Muscle,Neuron,Other,Secretory,Stromal
24hpf,0,0,0,0,12.26,0,0,4.09
72hpf,3.21,0,0,3.21,42.79,3.21,0,0
21Day,8.03,16.06,4.02,4.02,422.98,0,9.37,9.37
3Month,0.64,0,0,0,2.56,0,0,0.32
22Month,3.28,0,0,0,4.37,0,0,0
