stage,Endothelial,Epithelial,Germ,Immune,Muscle,Neuron,Other,Stromal
24hpf,0,0,0,0,0,0,0,8.17
72hpf,0,0,0,0,0,5.35,0,0
21Day,0,1.34,1.34,0,0,1.34,0,1.34
3Month,0,2.24,0.64,0.32,0,0,0,0
22Month,0.55,26.79,3.28,4.92,0.55,0,1.09,1.64
