stage,Endothelial,Epithelial,Germ,Immune,Muscle,Neuron,Other,Secretory,Stromal
72hpf,0,1.07,0,0,3.21,13.91,0,5.35,0
21Day,0,1.34,0,0,0,9.37,0,0,0
3Month,0,7.68,2.88,2.88,0.64,0.64,0,0.96,0.32
22Month,0.55,15.85,0.55,1.64,0,0.55,1.09,0.55,0
