stage,Endothelial,Epithelial,Immune,Muscle,Neuron,Secretory,Stromal
24hpf,0,0,0,0,0,0,4.09
72hpf,0,13.91,0,1.07,6.42,0,4.28
21Day,0,1.34,0,0,6.69,0,0
3Month,0.32,3.84,0.32,0,0.32,0.32,0.32
22Month,0,10.93,2.19,0,0,0,0.55
