stage,Endothelial,Epithelial,Erythroid,Germ,Immune,Muscle,Neuron,Stromal
24hpf,0,0,0,0,0,0,4.09,0
72hpf,0,3.21,0,0,0,0,10.7,1.07
21Day,0,0,6.69,0,0,1.34,5.35,0
3Month,0.32,3.52,0,14.08,0,0,0.32,0
22Month,0,2.73,0,0,0.55,0,0,0
