stage,Epithelial,Germ,Neuron,Other,Secretory,Stromal
24hpf,32.69,0,16.35,12.26,0,0
72hpf,29.95,0,24.61,0,0,0
21Day,26.77,0,49.53,0,1.34,2.68
3Month,0.32,0.32,0,0,0,0
22Month,14.21,0,0,2.19,0,0
