stage,Endothelial,Epithelial,Germ,Immune,Muscle,Neuron,Secretory,Stromal
21Day,0,21.42,0,0,0,2.68,1.34,1.34
3Month,0,10.56,2.24,6.08,0.32,0,1.28,0.32
22Month,0.55,24.05,0.55,2.73,0,0,0,0.55
