stage,Endothelial,Epithelial,Erythroid,Germ,Immune,Neuron
24hpf,0,4.09,0,0,0,8.17
72hpf,0,4.28,0,0,1.07,4.28
21Day,0,5.35,4.02,0,0,4.02
3Month,0.32,3.2,0,0.64,0.96,0
22Month,0,0,0,0,0.55,0
