stage,Epithelial,Erythroid,Immune,Muscle,Neuron,Secretory
72hpf,0,0,1.07,0,0,0
21Day,5.35,0,5.35,0,1.34,1.34
3Month,13.44,0.32,0.96,0.32,0,0
22Month,6.56,0,0,0,0,0
