stage,Epithelial,Immune,Muscle,Neuron,Other,Stromal
72hpf,1.07,0,2.14,2.14,0,0
3Month,1.28,0.32,0,0,0,0.32
22Month,3.83,0,0,0.55,1.09,0.55
