stage,Endothelial,Epithelial,Erythroid,Immune,Muscle,Neuron,Secretory
24hpf,4.09,0,0,0,0,4.09,0
72hpf,1.07,2.14,0,0,0,1.07,0
21Day,0,1.34,1.34,6.69,0,0,0
3Month,0,6.72,0,0.96,0.32,0,0.64
22Month,0,0,0,1.09,0,0,0.55
