stage,Endothelial,Epithelial,Germ,Immune,Neuron
24hpf,0,4.09,0,0,4.09
21Day,0,2.68,0,0,1.34
3Month,0,0.64,6.08,0.64,0
22Month,0.55,3.83,0,0,0
