stage,Epithelial,Immune,Muscle,Neuron,Other,Secretory,Stromal
24hpf,0,0,0,12.26,0,0,0
72hpf,1.07,0,0,0,0,0,0
3Month,0.96,0,0,0,0,0,0
22Month,56.31,1.09,1.09,0,1.64,1.09,2.19
