stage,Endothelial,Epithelial,Germ,Immune,Stromal
72hpf,0,6.42,0,1.07,0
21Day,0,1.34,0,4.02,0
3Month,0,13.12,0.32,0.32,0.64
22Month,0.55,82,1.09,1.09,1.09
