stage,Endothelial,Epithelial,Erythroid,Germ,Immune,Neuron,Other,Secretory
24hpf,0,0,0,0,0,12.26,0,0
72hpf,0,0,0,0,0,6.42,1.07,0
21Day,0,4.02,4.02,0,1.34,41.49,0,0
3Month,0,6.08,0,8.32,0.96,0,0,0.32
22Month,0.55,26.79,0,1.09,2.73,10.93,0,0
