stage,Epithelial,Erythroid,Immune,Muscle,Neuron,Other,Stromal
24hpf,4.09,0,20.43,4.09,0,0,8.17
72hpf,0,0,0,2.14,1.07,0,1.07
21Day,0,1.34,5.35,0,62.91,0,1.34
3Month,0.32,0,0.32,0,0,0,0
22Month,2.73,0,0,0,0,0.55,0
