stage,Epithelial,Erythroid,Germ,Immune,Muscle,Neuron,Secretory,Stromal
24hpf,0,0,0,0,0,4.09,0,0
72hpf,1.07,0,0,0,0,12.84,1.07,2.14
21Day,8.03,1.34,0,2.68,1.34,12.05,1.34,12.05
3Month,1.28,0,1.6,0,0,0,0,0
22Month,5.47,0,0.55,3.28,0,0,0,0.55
