stage,Endothelial,Epithelial,Erythroid,Germ,Immune,Neuron,Other
24hpf,0,0,0,0,0,4.09,0
72hpf,0,4.28,0,0,0,6.42,0
21Day,0,2.68,0,1.34,1.34,4.02,0
3Month,0,2.24,0,0.96,0.32,0.32,0
22Month,0.55,3.28,0.55,1.09,0.55,7.11,0.55
