stage,Endothelial,Epithelial,Germ,Immune,Muscle,Neuron,Secretory
24hpf,0,0,0,0,0,16.35,0
72hpf,0,1.07,0,1.07,0,8.56,0
21Day,1.34,0,0,0,1.34,5.35,2.68
3Month,0,0.96,0.64,0,0,0,0
22Month,0,1.64,0,0,0,0,0
