stage,Epithelial,Immune,Neuron,Other,Secretory,Stromal
24hpf,0,0,93.99,0,0,0
72hpf,3.21,0,8.56,0,0,3.21
21Day,4.02,1.34,8.03,0,1.34,0
22Month,1.64,0,0,1.09,0,0
