stage,Epithelial,Germ,Neuron,Secretory,Stromal
72hpf,0,0,3.21,0,1.07
21Day,1.34,0,0,2.68,1.34
3Month,1.28,0,0,0.32,0.32
22Month,2.73,0.55,0,0,0
