stage,Endothelial,Epithelial,Erythroid,Germ,Immune,Muscle,Secretory,Stromal
72hpf,0,2.14,0,0,0,0,0,0
21Day,0,1.34,1.34,0,1.34,1.34,0,1.34
3Month,0.32,63.67,0,0.96,2.88,1.28,0.64,1.28
22Month,0,95.12,0,0.55,1.64,1.09,0.55,0
