stage,Epithelial,Erythroid,Germ,Immune,Neuron
72hpf,3.21,1.07,0,0,34.23
21Day,0,0,0,0,20.08
3Month,1.6,0,0.32,0.32,0
22Month,3.28,0,0.55,0,1.09
