stage,Endothelial,Epithelial,Immune,Neuron,Other,Secretory,Stromal
24hpf,0,0,0,0,0,0,4.09
21Day,0,4.02,6.69,1.34,0,0,1.34
3Month,0.32,8,0.64,0,0,0,0.32
22Month,0,10.39,5.47,0,1.64,0.55,0
