stage,Endothelial,Epithelial,Immune,Muscle,Neuron,Other,Stromal
72hpf,0,1.07,0,0,3.21,0,0
21Day,0,0,0,1.34,0,0,0
22Month,0.55,7.11,0.55,0,8.2,1.64,0.55
