stage,Epithelial,Germ,Neuron,Secretory,Stromal
24hpf,0,0,4.09,0,0
72hpf,0,0,33.16,0,1.07
21Day,1.34,0,6.69,4.02,1.34
3Month,0.64,0.64,0,0.32,0
22Month,1.64,0,0.55,1.09,0
