stage,Endothelial,Epithelial,Germ,Immune,Muscle,Other,Secretory,Stromal
24hpf,0,0,0,0,0,0,0,4.09
21Day,0,0,0,5.35,0,0,0,0
3Month,0,2.56,0.64,8.96,0,0,0.32,0
22Month,0.55,4.37,0,26.79,0.55,0.55,0,0.55
