stage,Endothelial,Epithelial,Erythroid,Germ,Immune,Neuron
24hpf,4.09,0,0,0,0,4.09
72hpf,0,2.14,1.07,0,0,1.07
21Day,0,4.02,0,0,0,1.34
3Month,0,2.56,0,7.04,0.32,0
22Month,0,4.37,0,0,0.55,0
