stage,Endothelial,Epithelial,Erythroid,Germ,Immune,Muscle,Neuron,Secretory
72hpf,0,0,0,0,0,0,1.07,0
21Day,0,1.34,1.34,0,0,1.34,0,0
3Month,0,9.92,0,0.64,1.28,0.32,0,0.32
22Month,1.09,26.79,0,0,4.37,0,0.55,0.55
