stage,Epithelial,Immune,Muscle,Other,Secretory,Stromal
21Day,4.02,0,0,0,0,0
3Month,7.68,0.32,0.32,0,0.32,0.96
22Month,100.04,3.28,0.55,3.28,0.55,0
