stage,Endothelial,Epithelial,Erythroid,Germ,Immune,Muscle,Neuron,Other,Secretory
24hpf,0,0,0,0,0,0,4.09,0,0
72hpf,0,1.07,0,0,0,0,2.14,0,0
21Day,0,1.34,0,1.34,0,1.34,2.68,0,0
3Month,0.32,48.95,0.32,159.65,2.56,0.32,0.64,0.64,1.92
