stage,Endothelial,Epithelial,Germ,Immune,Neuron,Secretory
72hpf,0,1.07,0,0,0,0
21Day,0,1.34,1.34,0,1.34,0
3Month,0.32,7.04,157.1,3.52,0.32,0.96
22Month,0,1.64,4.92,0,0,0
