stage,Endothelial,Epithelial,Muscle,Neuron,Stromal
72hpf,0,0,0,1.07,2.14
21Day,2.68,0,2.68,0,2.68
3Month,0.64,1.28,0,0,0
22Month,0,1.64,0,0,0
