stage,Endothelial,Epithelial,Erythroid,Germ,Immune,Neuron,Stromal
24hpf,4.09,4.09,0,0,0,8.17,0
72hpf,0,0,3.21,0,0,0,3.21
21Day,0,0,0,0,0,4.02,2.68
3Month,0,0.32,0,0.96,0.64,0.32,0
