stage,Epithelial,Muscle,Neuron,Secretory,Stromal
24hpf,4.09,0,0,0,0
72hpf,1.07,0,1.07,0,0
21Day,0,0,4.02,0,0
3Month,0.32,0.32,1.6,0.32,0.32
