stage,Epithelial,Erythroid,Germ,Immune,Stromal
72hpf,1.07,0,0,0,1.07
21Day,8.03,0,0,0,0
3Month,0.32,0.32,0,0.96,0
22Month,5.47,0,0.55,0.55,1.09
