stage,Epithelial,Erythroid,Germ,Immune,Muscle,Secretory,Stromal
21Day,1.34,0,0,0,0,0,0
3Month,13.12,0.64,0.96,0.96,1.92,0.96,0.64
22Month,11.48,0,0,0.55,0,0,0
