stage,Epithelial,Immune,Muscle,Neuron,Secretory,Stromal
72hpf,1.07,0,0,2.14,0,0
21Day,0,0,0,1.34,0,0
3Month,5.44,2.56,0,0.32,0.32,0.32
22Month,10.39,2.19,0.55,0,0,1.09
